learner_id,career_goal,current_skill_level,prior_experience_months,completed_modules_count,avg_quiz_score,avg_coding_challenge_score,time_spent_hours_per_week,preferred_learning_pace,score_python,score_statistics,score_ml_algorithms,score_deep_learning,score_sql,score_data_visualization,dropout_risk,next_best_module
LRN00001,ML Engineer,Advanced,9.1,19.0,76.5,73.1,7.8,Moderate,96.2,83.7,84.4,82.7,71.9,62.1,0,Advanced ML Projects
LRN00002,Data Scientist,Intermediate,31.7,4.0,72.1,72.4,9.9,Slow,63.5,60.8,72.5,64.5,82.0,65.4,0,Python Foundations
LRN00003,MLOps Engineer,Beginner,4.5,3.0,63.6,59.5,9.8,Moderate,74.8,50.5,27.1,24.8,41.9,10.6,1,ML Algorithms Intro
LRN00004,ML Engineer,Intermediate,21.2,10.0,64.1,55.5,2.2,Slow,76.0,65.8,55.3,52.4,70.5,31.0,1,ML Algorithms Intro
LRN00005,Data Analyst,Beginner,3.2,1.0,43.0,39.0,9.2,Slow,15.4,9.4,29.1,47.0,50.0,55.6,1,Statistics for DS
LRN00006,MLOps Engineer,Intermediate,30.4,16.0,60.1,53.9,4.2,Moderate,54.6,78.9,56.5,58.1,72.9,42.7,0,Python Foundations
LRN00007,ML Engineer,Intermediate,28.9,18.0,29.6,38.0,6.5,Moderate,64.2,54.6,54.4,58.3,67.0,61.5,1,ML Algorithms Intro
LRN00008,ML Engineer,Beginner,4.7,3.0,46.1,47.9,9.2,Fast,57.5,21.9,64.8,47.0,29.3,20.0,1,Statistics for DS
LRN00009,Data Analyst,Beginner,3.7,3.0,34.4,39.0,14.7,Fast,42.4,60.0,4.4,0.0,43.9,18.7,1,Statistics for DS
LRN00010,Data Scientist,Intermediate,14.9,14.0,48.9,54.8,13.1,Fast,66.0,63.5,76.8,48.0,79.6,38.0,0,Statistics for DS
LRN00011,Data Scientist,Beginner,4.2,3.0,51.3,56.0,13.5,Fast,78.4,35.9,41.2,6.2,66.7,40.6,1,Statistics for DS
LRN00012,MLOps Engineer,Advanced,59.1,14.0,58.2,59.6,9.2,Moderate,93.8,80.8,89.6,73.1,93.0,58.4,0,Deep Learning Basics
LRN00013,ML Engineer,Intermediate,16.3,9.0,77.1,75.6,3.8,Slow,71.2,71.6,75.5,75.3,56.7,50.1,0,Python Foundations
LRN00014,ML Engineer,Intermediate,14.8,11.0,72.3,65.7,7.1,Moderate,86.6,68.1,27.0,35.8,56.5,78.8,0,ML Algorithms Intro
LRN00015,Data Scientist,Beginner,4.7,3.0,39.0,40.4,3.1,Slow,66.5,45.3,38.5,28.2,32.1,53.1,1,ML Algorithms Intro
LRN00016,Data Analyst,Intermediate,33.0,12.0,64.1,60.5,10.6,Slow,51.9,51.5,52.2,11.6,65.4,72.5,0,Statistics for DS
LRN00017,ML Engineer,Advanced,26.3,27.0,62.1,58.8,7.7,Slow,87.5,90.8,92.9,71.5,75.7,69.4,0,Deep Learning Basics
LRN00018,Data Analyst,Beginner,2.6,1.0,56.3,48.2,20.4,Fast,35.9,24.2,0.0,43.1,48.1,50.0,1,Statistics for DS
LRN00019,ML Engineer,Beginner,3.5,4.0,47.8,60.3,3.7,Moderate,68.4,56.3,57.0,37.4,28.6,7.9,1,Deep Learning Basics
LRN00020,ML Engineer,Beginner,3.7,3.0,48.9,57.2,15.5,Fast,45.2,39.6,37.7,40.9,44.1,51.5,1,ML Algorithms Intro
LRN00021,ML Engineer,Beginner,2.2,6.0,52.5,58.4,14.1,Fast,47.7,45.5,46.6,52.5,0.0,48.6,1,Python Foundations
LRN00022,Data Scientist,Intermediate,35.0,10.0,55.4,59.1,17.6,Fast,71.8,60.0,66.2,53.2,74.0,22.6,0,Statistics for DS
LRN00023,MLOps Engineer,Intermediate,10.4,14.0,42.2,48.1,7.2,Slow,89.2,60.0,75.8,57.8,61.4,47.6,1,SQL for Analysts
LRN00024,MLOps Engineer,Intermediate,22.8,26.0,79.4,80.1,17.0,Fast,66.8,68.3,76.0,63.9,66.8,64.0,0,Python Foundations
LRN00025,ML Engineer,Beginner,5.6,3.0,55.3,51.9,13.4,Fast,50.0,32.0,59.5,1.9,50.6,25.3,1,Deep Learning Basics
LRN00026,Data Analyst,Beginner,2.3,3.0,37.0,39.6,9.2,Fast,39.1,46.3,39.6,14.8,66.4,85.7,1,Statistics for DS
LRN00027,Data Scientist,Beginner,2.9,2.0,51.1,58.8,5.9,Slow,66.1,52.8,38.3,7.4,43.3,76.6,1,ML Algorithms Intro
LRN00028,Data Analyst,Advanced,15.7,40.0,60.1,87.4,6.2,Slow,80.1,69.2,100.0,44.0,55.2,73.4,0,SQL for Analysts
LRN00029,Data Analyst,Intermediate,16.4,6.0,82.1,72.4,16.4,Fast,65.7,76.5,36.7,59.2,62.1,59.8,0,SQL for Analysts
LRN00030,ML Engineer,Beginner,0.8,4.0,36.5,46.0,4.4,Slow,62.5,17.8,45.0,36.4,48.2,34.5,1,Statistics for DS
LRN00031,ML Engineer,Intermediate,24.7,10.0,42.7,60.3,9.2,Moderate,97.7,68.7,70.8,71.6,28.6,55.2,1,SQL for Analysts
