target,trial_number,val_f1_macro,model_type,rf_n_estimators,rf_max_depth,rf_min_samples_split,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_lr,xgb_subsample,xgb_colsample,lgb_n_estimators,lgb_max_depth,lgb_lr,lgb_num_leaves,lgb_subsample
next_best_module,0,0.6558,RandomForest,157.0,17.0,2.0,4.0,,,,,,,,,,
next_best_module,1,0.6488,XGBoost,,,,,158.0,9.0,0.0347132409990426,0.7135914840278047,0.854383092619762,,,,,
next_best_module,2,0.6323,RandomForest,116.0,7.0,10.0,4.0,,,,,,,,,,
next_best_module,3,0.6451,RandomForest,214.0,11.0,9.0,4.0,,,,,,,,,,
next_best_module,4,0.6431,XGBoost,,,,,178.0,7.0,0.06983449448237254,0.961735848983948,0.884702931215547,,,,,
next_best_module,5,0.5745,XGBoost,,,,,139.0,3.0,0.015282764236322764,0.6902180529680966,0.6203472325013887,,,,,
next_best_module,6,0.5749,LightGBM,,,,,,,,,,51.0,9.0,0.013560694254649144,57.0,0.7047898211339838
next_best_module,7,0.64,RandomForest,61.0,12.0,6.0,1.0,,,,,,,,,,
next_best_module,8,0.6299,RandomForest,106.0,7.0,7.0,5.0,,,,,,,,,,
next_best_module,9,0.6197,RandomForest,130.0,6.0,10.0,3.0,,,,,,,,,,
next_best_module,10,0.6049,LightGBM,,,,,,,,,,213.0,3.0,0.16133719502584273,15.0,0.9703769144906215
next_best_module,11,0.6305,XGBoost,,,,,50.0,10.0,0.11554290898952893,0.6120043785217905,0.9877733897138163,,,,,
next_best_module,12,0.6066,XGBoost,,,,,245.0,10.0,0.010078804333648736,0.8392583434022329,0.7300575400849074,,,,,
next_best_module,13,0.5831,XGBoost,,,,,86.0,3.0,0.03357563329094964,0.795606153681891,0.8208126378043361,,,,,
next_best_module,14,0.6258,LightGBM,,,,,,,,,,249.0,12.0,0.011541976782128677,60.0,0.6061594856951218
next_best_module,15,0.6171,RandomForest,239.0,20.0,2.0,1.0,,,,,,,,,,
next_best_module,16,0.6402,XGBoost,,,,,236.0,6.0,0.033808956769060844,0.9982890663505697,0.9932147251367197,,,,,
next_best_module,17,0.6521,XGBoost,,,,,161.0,7.0,0.1462474617453089,0.8410097724562572,0.6199270317447078,,,,,
next_best_module,18,0.6526,RandomForest,181.0,20.0,2.0,2.0,,,,,,,,,,
next_best_module,19,0.6556,RandomForest,178.0,20.0,2.0,2.0,,,,,,,,,,
next_best_module,20,0.6566,RandomForest,169.0,16.0,4.0,3.0,,,,,,,,,,
next_best_module,21,0.6595,RandomForest,170.0,16.0,4.0,3.0,,,,,,,,,,
next_best_module,22,0.6542,RandomForest,164.0,16.0,4.0,3.0,,,,,,,,,,
next_best_module,23,0.6618,RandomForest,165.0,16.0,4.0,3.0,,,,,,,,,,
next_best_module,24,0.6564,RandomForest,206.0,15.0,4.0,3.0,,,,,,,,,,
dropout_risk,0,0.8763,LightGBM,,,,,,,,,,247.0,8.0,0.02856703045963274,29.0,0.7600435304162033
dropout_risk,1,0.8791,LightGBM,,,,,,,,,,151.0,8.0,0.017624043657442055,18.0,0.6073251001485325
dropout_risk,2,0.8799,XGBoost,,,,,92.0,6.0,0.04842961687445264,0.8246617358377079,0.6174713231858847,,,,,
dropout_risk,3,0.8742,LightGBM,,,,,,,,,,208.0,3.0,0.17695797340897004,48.0,0.8370731042723988
dropout_risk,4,0.8778,LightGBM,,,,,,,,,,218.0,6.0,0.01676007286177785,24.0,0.910194329890024
dropout_risk,5,0.8816,LightGBM,,,,,,,,,,78.0,6.0,0.023126061371412324,15.0,0.6045260395598051
dropout_risk,6,0.8767,XGBoost,,,,,175.0,7.0,0.0506994209960027,0.7895236227832777,0.8765572359104983,,,,,
dropout_risk,7,0.8728,LightGBM,,,,,,,,,,168.0,8.0,0.07162926113927245,52.0,0.7783809416370123
dropout_risk,8,0.8734,XGBoost,,,,,215.0,7.0,0.09654845850719758,0.6400295598651136,0.6561842263178409,,,,,
dropout_risk,9,0.864,XGBoost,,,,,173.0,4.0,0.13306527490674194,0.7296378201425373,0.770124746409368,,,,,
dropout_risk,10,0.8827,RandomForest,214.0,6.0,4.0,2.0,,,,,,,,,,
dropout_risk,11,0.8799,RandomForest,246.0,5.0,2.0,1.0,,,,,,,,,,
dropout_risk,12,0.8815,RandomForest,144.0,13.0,7.0,3.0,,,,,,,,,,
dropout_risk,13,0.879,RandomForest,70.0,20.0,10.0,5.0,,,,,,,,,,
dropout_risk,14,0.8807,RandomForest,249.0,5.0,2.0,1.0,,,,,,,,,,
dropout_risk,15,0.8803,RandomForest,161.0,12.0,6.0,5.0,,,,,,,,,,
dropout_risk,16,0.8781,RandomForest,75.0,19.0,5.0,3.0,,,,,,,,,,
dropout_risk,17,0.8725,LightGBM,,,,,,,,,,56.0,12.0,0.0595217304656483,63.0,0.9965246432178869
dropout_risk,18,0.8786,LightGBM,,,,,,,,,,61.0,12.0,0.010686787939919416,35.0,0.6099572428751123
dropout_risk,19,0.8845,RandomForest,181.0,12.0,10.0,3.0,,,,,,,,,,
dropout_risk,20,0.885,RandomForest,188.0,10.0,9.0,3.0,,,,,,,,,,
dropout_risk,21,0.885,RandomForest,187.0,10.0,10.0,3.0,,,,,,,,,,
dropout_risk,22,0.8824,RandomForest,181.0,11.0,10.0,3.0,,,,,,,,,,
dropout_risk,23,0.8817,RandomForest,191.0,9.0,9.0,4.0,,,,,,,,,,
dropout_risk,24,0.8815,RandomForest,124.0,15.0,8.0,3.0,,,,,,,,,,
